num_blocks,total_bytes,offload_ms,onload_ms,offload_bandwidth_GBs,onload_bandwidth_GBs
1,2359296,0.06,0.057,39.51,41.47
2,4718592,0.107,0.098,44.25,48.24
4,9437184,0.189,0.182,49.89,52.0
8,18874368,0.382,0.346,49.37,54.62
16,37748736,0.72,0.677,52.4,55.75
32,75497472,1.422,1.338,53.1,56.43
64,150994944,2.836,2.662,53.25,56.73
128,301989888,5.654,5.306,53.41,56.92
256,603979776,11.366,10.599,53.14,56.98
512,1207959552,22.74,21.183,53.12,57.02
1024,2415919104,45.438,42.346,53.17,57.05
2048,4831838208,90.928,85.546,53.14,56.48
