model_label,chunk_type,batch_size,count,mean,p05,p50,p95,min,max,negative_fraction
27B,paragraph,16,3716,183.54354339816425,-0.4079847224056721,104.47861906950129,720.8916748170159,-349.02231802803,1209.935832672054,0.08369214208826696
27B,paragraph,32,4091,196.25589332542077,-0.5425555954570882,114.96447664091829,660.5710175135755,-357.111325404956,1200.3632056091446,0.0848203373258372
27B,paragraph,64,3660,132.9276114827214,-1.4287943432980674,85.38146910548676,489.08691354101745,-52.52794713806361,1180.7667851649458,0.10956284153005465
27B,paragraph,96,3705,137.4481456498925,-2.717974781896918,79.73150024993811,517.2796105184353,-373.06117437104695,1157.490427233046,0.12874493927125505
27B,paragraph,128,3686,131.56618017465092,-3.7467550504370593,67.29878656001529,542.0985138810356,-361.3075442078989,725.8186707849381,0.1565382528486164
27B,paragraph,160,3634,126.69870477150405,-5.5807017707324125,61.8142446569982,559.9687493940523,-418.32508326508105,1062.7902196850628,0.17886626307099615
27B,paragraph,192,3538,117.76407426651016,-6.560466708196326,57.398358763952274,509.0206464913381,-370.81789768801536,1128.8493649290176,0.19276427360090448
27B,paragraph,224,3985,143.23050968174635,-5.906274689594283,74.20414846006315,519.0473212909884,-403.0927939870162,1235.6926645870553,0.17139272271016312
27B,paragraph,256,3440,109.06113529397099,-6.855435271136229,55.01840000250377,458.7457722984077,-294.93718232098036,1237.5246087950654,0.20116279069767443
27B,sentence,16,15342,243.91681508831988,15.225559406977846,154.2573628834798,740.5766426413842,-5.44354463997297,1215.1185120220762,0.003976013557554426
27B,sentence,32,14241,202.82194770377166,13.351249319966882,127.94440256606322,644.3980760399718,-14.974446660955437,1071.448522136081,0.00491538515553683
27B,sentence,64,16303,223.59677653343968,13.858525467407889,145.67635930108372,679.3858005251035,-15.511710081947967,1201.11382008309,0.004907072317978286
27B,sentence,96,13707,202.64198435019136,10.239615957229399,112.06248052802403,696.1054742839648,-343.1885815139394,1213.0373987118946,0.008098052090172904
27B,sentence,128,13933,181.72799189563597,8.657862883992493,101.85842978395522,617.3522297500166,-26.746483151917346,1139.1282293399563,0.011339984210148568
27B,sentence,160,13505,165.357283429137,5.91829899395816,90.91294611606281,571.3767167638055,-30.302282430930063,1143.3861149379518,0.016586449463161793
27B,sentence,192,15074,201.31178940866323,6.064232731447556,107.54995376401348,683.6622900519694,-45.82725735893473,1089.1966237050947,0.019105744991375878
27B,sentence,224,15391,205.83073772525483,6.609098122979049,112.7541359020397,708.441930188972,-31.534044089959934,1123.227397685987,0.018062504060814763
27B,sentence,256,13378,155.7941275365268,4.969968077266822,89.23945642902981,547.2288875736294,-72.44443946506362,1138.5182078100042,0.02145313200777396
35B-A3B,paragraph,16,4333,272.395799513379,-0.045698727807030076,161.2356949329842,998.0218757345801,-187.06147258204874,1456.9921785440529,0.05746595891991692
35B-A3B,paragraph,32,5339,267.72490378989534,-0.06641041896073148,183.64854487904813,832.9030377392297,-165.31749952305108,1340.1649215311045,0.055815695823187864
35B-A3B,paragraph,64,4775,260.4859176864952,-0.20353474850999187,156.91558532998897,868.1863553493167,-268.8705199729884,1331.0782538049389,0.07350785340314137
35B-A3B,paragraph,96,4317,197.60531843395373,-0.8261496679391712,121.12382749700919,715.7286900086089,-198.93999084399547,1253.9183771529933,0.09034051424600417
35B-A3B,paragraph,128,4696,224.3022536828362,-0.7883696129720192,128.32416232005926,778.7328605802613,-272.52044296299573,1454.595447462052,0.09348381601362862
35B-A3B,paragraph,160,4274,190.39348234588593,-1.4735630622773896,113.72587927250424,693.4321594156849,-259.94783194886986,1307.7758809840307,0.1127749181094993
35B-A3B,paragraph,192,5288,226.25829523514045,-1.0904852989711797,145.9187214364647,810.7512700366376,-50.708703987067565,1491.9608526059892,0.09776853252647504
35B-A3B,paragraph,224,5288,226.29352078435014,-1.089207318169065,145.86917482252466,811.0225620156675,-50.75673167302739,1492.2909377409378,0.09776853252647504
35B-A3B,paragraph,256,5288,226.14386759638597,-1.0937514264252965,145.8941681830329,810.3015778992672,-50.705212425091304,1491.4460512188962,0.09795763993948563
35B-A3B,sentence,16,18608,328.7815921166502,19.241046694631223,212.86963044002187,1038.3127064568862,-155.57141378591768,1576.1852878549835,0.00204213241616509
35B-A3B,sentence,32,20548,324.3308842742274,19.153580397029877,216.0717742839479,978.0360049687383,-14.770048217033036,1521.068657813943,0.002238660696904808
35B-A3B,sentence,64,20065,299.55610605406713,17.382607828802428,192.40124879509676,935.6518913551465,-166.19397366500925,1484.6662615420064,0.002940443558435086
35B-A3B,sentence,96,18598,290.7212821068395,14.79586974659469,174.36778133304324,959.2620215369958,-285.7279512529494,1520.151263274951,0.0035487686848048178
35B-A3B,sentence,128,20299,300.4029189223834,15.150700673472604,180.93373097199947,986.9334074268467,-279.5651402239455,1483.0627440690296,0.004039607862456279
35B-A3B,sentence,160,20419,281.6373614464698,14.419588406605182,178.94942838489078,888.5148572764117,-134.15166308893822,1387.0576006710762,0.004603555512023115
35B-A3B,sentence,192,18885,285.939825553714,12.69376747077331,161.1731236029882,991.2353821095776,-249.7553077439079,1446.5232795568882,0.005559968228752979
35B-A3B,sentence,224,20065,290.60672365720023,13.472445977013559,174.2158117259387,956.7440168206113,-19.53606433502864,1607.7585117799463,0.005432344879142786
35B-A3B,sentence,256,20961,292.6662817878976,14.652541596908122,178.22827412502375,937.755285577965,-272.4471514959587,1535.736352420994,0.0055340871141644
